Word Id,Word,Meaning,P of speech,Pronunciation
135,"বাধ্য","obedient; dutiful; docile; well behaved; tame","adj.",
136,"অবিয়","Abijah","noun",
139,"পালা","turn; time in rotation; story; branch; twig; pile; stack","noun",
140,"গুলিবাঁট","lot","noun",
142,"বায়তুল মোকাদ্দস","Temple in Jerusalem","noun",
143,"ধূপ","incense; perfume; smoke; resin","noun",
144,"ধূপগাহ","incense, place for burning incence","noun",
146,"মদানো রস","alcohlic, intoxicating drink","noun",
150,"বোবা","dumb; speechless; mute","adj.",
155,"অৎসাহ","eagerness to work; enterprise; passionate zeal,  determination, encouragement","noun",
156,"স্নেহ","oil; fat; affection; attachment","noun",
158,"সান্ত্বনা","console; comfort; sooth","noun",
159,"আঁকড়","seize, confine",,
165,"গর্ভবতী","pregant, with child","adj.",
166,"গর্ভ","inside, the womb","noun",
167,"অবিবাহিতা","unmarried, unwed","adj.",
169,"কথাবার্তা","conversation, chatting","name",
172,"ছিটানো","to throw liquid, to sprinkle, spray","verb",
173,"সাজানো","to dress, embellish, adorn","verb",
174,"জ্বলন্ত","burning","adj.",
175,"চর্বি","fat of an animal","noun",
176,"গোটা","the entire, whole, undivided","adj.",
177,"গায়ে","?",,
178,"মুচ্‌ড়ানো","to twist","verb",
179,"থলি","a bag, sack","noun",
182,"লোবান","kind of incense, frankincence","noun",
184,"বাদবাকী","remaining, the rest","adj.",
185,"তন্দুরে সেঁকা","baked in an oven, as in tandoori",,
187,"ময়ান","mixing of ghee with dough","name",
188,"কড়াই","frypan","name",
190,"ঝল্‌সা","to roast, singe","verb",
191,"পুরা","before, formerly, in the past; full entire, whole, complete","adj.",
195,"অন্তর্গতি","Included in ; comprised in","adj.",
197,"চাষবাস","agriculture, farming","noun",
200,"জীবনী","Life-story; biography","noun",
201,"পাঠক","reader","noun",
203,"চমৎকার","good; wonderful","adj.",
204,"ভূমি","land","noun",
205,"সমুদ্র","ocean; seas","noun",
277,"রাজত্ব ক","to rule, reign, govern","verb",
278,"স্থাপন ক","to set, establish","verb",
279,"ঝাঁক","swarm; flock","adv.",
280,"বাঁধা","Bind ; confine ; close; form; unite","verb",
281,"বংশ বৃদ্ধি করবার ক্ষমতা","power to increase/grow","noun",
282,"বাড়িয়ে তুলবার ক্ষমতা","ability/power to reproduce","noun",
283,"গ্রহপালিত","domesticated","adj",
284,"বুকে হাঁটা","crawling","adj",
285,"গাছ্‌ড়া","Small plant ; vegetable ; shurb","noun",
287,"গুঙুলু","bdellium? (NIV = ‘aromatic resin’)","noun",
288,"বৈদূর্যমণি","chrysoberyl gem (NIV = ‘onyx’)","noun",
289,"নেকী","goodness","noun",
290,"বদী","wickedness","noun",
291,"অবাধ্যতা","disobedience","noun",
292,"মানুষের অবাধ্যতা","the Fall; (literally, 'mankind's disobedience')","noun",
293,"নেকী-বদীর জ্ঞান","knowledge of good and evil","noun",
294,"কামনা","a desire, a wish","noun",
295,"বটে","is, are: 3rd person present to be (from 'bota' [poetic])","verb",
296,"খাটো","Short ; small","adj.",
297,"ঘাগ্‌রা","Petticoat ; skirt","noun",
299,"ভুমানো","to cause someone to forget, err; to entice, mislead, charm","verb",
300,"অবাধ্যতার শাস্তি","punishment for disobedience","noun",
301,"গোড়ালী","ankle, heel","noun",
302,"চোবল","Snap ; sudden bite","noun",
303,"কর্তৃত্ব","authority, mastery, domination","noun",
305,"মাথার ঘাম পায়ে ফেলে","idiom with the same meaning as 'by the sweat of one's brow' (literally, 'with the sweat of one's head falling on one's feet')",,
306,"কারুবী","cherub","noun",
307,"অনবরত","Incessant; continuous; ceaseless","adj.",
308,"চর্বিযুক্ত","along with the fat","adj.",
309,"কবুল","acknowledgement","noun",
311,"সে মুখ কালো করে রইল","his face was downcast",,
312,"উজ্জ্বল","Bright; shining; clear","adj.",
313,"বশ","Control ; subjugation","noun",
314,"বশে আনা","to subdue, bring under control, master, tame","verb",
316,"বদদোয়া","curse","noun",
317,"পলাতক","runaway, fugitive","noun",
318,"সহ্য","tolerance, endurance","noun",
319,"আড়াল","Concealment; cover; shelter","noun",
320,"তোমার চোখের আড়াল","hidden from one's presence",,
322,"প্রতিশোধ নেওয়া","to have/take revenge","verb",
323,"হনোক","Enoch","name",
324,"ঈরদ","Irad","name",
325,"মহূয়ায়েল","Mehujael","name",
326,"মথূশায়েল","Methushael","name",
327,"লেমক","Lamech","name",
328,"যাবল","Jabal","name",
329,"তাম্বু / তাঁবু","tent","noun",
330,"তাম্বুতে","in tents",,
331,"যূবল","Jubal","name",
333,"তূবল-কাবিল","Tubal-Cain","name",
334,"জন্ত্রপাতা","Apparatus; tools; implements","noun",
335,"জখম","Wound ; hurt ; injury ; cut","noun",
338,"ইন্তেকাল","[A] death","noun",
339,"ইন্তেকাল ক","to die","verb",
340,"সম্বন্ধ","connection with, union, fellowship, kinship, intimacy","noun",
341,"আদম","Adam","name",
342,"শিস","Seth","name",
343,"আনুশ","Enosh","name",
344,"কীনান","Kenan","name",
345,"মাহলাইল","Mahalalel","name",
346,"ইয়ারুদ","Jared","name",
347,"ইদ্রিস","Enoch","name",
348,"মুতাওশালেহ","Methuselah","name",
349,"লামাক","Lamech","name",
350,"নূহ্‌","Noah","name",
351,"নাফরমানী","[A?] ‘wickedness’ (NIV); disobedience","noun",
352,"চেতনা","consciousness, life","noun",
353,"চেতনা দেওয়া","to contend (?)","verb",
355,"মৃত্যুর অধীন","mortal","adj",
356,"ঝাঁকা","to stoop, bend over, to have a liking for","verb",
357,"ঝাঁকে আছে","inclined","adj",
358,"রই","to be","verb",
359,"খাঁটি","pure, sincere, upright","adj",
360,"যোগাযোগ","communication","noun",
362,"আল্লাহ্‌র সংগে তাঁর যোগাযোগ-সম্বন্ধ ছিল","he walked with God",,
363,"জোর-জুলুম","violence, oppression","noun",
364,"জোর","force, power","noun",
366,"গুনাহের দুর্গন্ধ","'stink of sin'; corruption","noun",
367,"দুর্গন্ধময়","full of an offensive smell","adj.",
369,"পচন ধরা","to begin rotting or decaying","verb",
370,"গোটা","entire, whole","adj",
371,"আল্‌কাত্‌রা","Tar ; pitch ; coal-tar.","noun",
372,"লেপা","to plaster, smear, coat","verb",
373,"চওড়া","?","adj.",
374,"জোগাড় ক","to arrange for","verb",
376,"মজুদ করে রাখা","to stone","verb",
377,"ফাটল","fissure, crack, crevice","noun","[dv‡Uvj&] (?)"
378,"ফাটল ধরা","to be cracked?","verb",
379,"শ্বাস-প্রশ্বাস নিয়ে যারা বেঁচে ক","those that had the breath of life",,
380,"রইল","stay; stop; have; pass time; be; wait; accompany","verb",
382,"বাতাস বহালেন","He sent a wind","verb",
383,"আরারাত","Ararat (the mountain)","name",
384,"পাহাড় শ্রেণীর উপরে আট্‌কে রইল","came to rest on a mountain range",,
385,"শ্রেণী","line, row, range, series or class","noun",
387,"দাঁড়কাক","raven","noun",
388,"ঘোরাগেরা ক","to fly or move around","verb",
389,"কবুতর","pigeon / dove","noun",
390,"ঠোঁট","lips or beak","noun",
392,"ছেড়ে দেওয়া","to send out","verb",
393,"ছিঁড়া / ছেঁড়া","to pull apart, tear; cut off / torn, plucked, pulled up; cut off","verb / adj",
394,"বংশ বৃদ্ধির ক্ষমতা","ability to be fruitful","noun",
395,"বংশ বৃদ্ধি","an increase or multiplication of one's family or race","noun",
396,"ক্ষমতা","power, ability, strength","noun",
398,"ঝোঁক","inclination, hobby; addiction; bias","noun",
399,"হতেই থাকা","will continue to be; i.e, will never cease","verb",
400,"বংশবৃদ্ধি","increase of a family or race","noun",
402,"বংশ","offspring; family, lineage; posterity","noun",
403,"রংধনু","rainbow","noun",
404,"চাষ-আবাদ","agriculture; tilling soil and sowing seeds","noun",
405,"মাতাল হ","to become drunk, intoxicated","verb",
406,"উলংগ","naked","adj",
407,"নেশা কেটে গেলে পর","after coming to one's senses after being intoxicated",,
409,"জোড়া / জুড়া","fasten; begin; occupy","verb",
410,"জুড়ে থাকা","fill, penetrate, extend","verb",
413,"হাম","Ham","name",
414,"ইয়াফস","Japheth","name",
415,"তালিকা","list, catalog, inventory [NIV = account]","noun",
416,"শক্তিশালী","mighty","adj",
417,"ক্ষমতাশালী","powerful; strong; influential","adj",
481,"বেপরোয়া","reckless, desperate, 'careless'","adj.","[†e‡cv‡ivqv] (?)"
482,"বেপরোয়া শিকারী","mighty hunter","noun",
483,"পূর্বপুরুষ","ancestor","noun",
484,"সাম","Shem","name",
485,"আবের","Eber","name",
486,"ভূ-মধ্য সাগর ?","Mediterranean Sea","name",
487,"দজলা","Tigris [River]","name",
489,"সমভূমি","even ground; plain","noun",
490,"চুন-সুরকি","lime-dust? mortar","noun",
491,"চুন","lime; oxide of calcium obtained by burning limestone","noun",
492,"সুরকি","brickdust","noun",
494,"চূড়া","peak; top of mountain","noun",
495,"ঠেকা","to touch; to reach and stop; to come in contact with","verb",
496,"সুনাম","good reputation, name; fame; renown; goodwill","noun",
497,"মতলব","Intention ; purpose ; desire; motive; design, plan","noun",
498,"হাসিল ক","Accomplish; perform; acquire","verb",
499,"বাধা","Obstruction ; hindrance ; impediment; obstacle","noun",
500,"বাধা মানা","to yield to an obstacle","verb",
505,"গোলমাল বাধান","to cause confusion","verb",
506,"বাধান","to start suddenly, provoke, cause to stick","verb",
557,"যাতে","so that","conj",
558,"ছাড়িয়ে দেওয়া","to scatter","verb",
560,"বেরিয়ে পড়া","to set out on a journey; get out of; come to light","verb",
561,"ভাইপো","Brother's son ; nephew","noun",
562,"এলোন গাচগ","[NIV = 'great tree']","noun",
563,"মাঝামাঝি","almost the middle; halfways; central; moderate","prep.",
565,"দরবার","royal court","noun",
566,"তারিফ ক","to praise; appreciate; admire","verb",
567,"রাজমহল","king's palace","noun",
569,"বিবাদ","Quarrel ; dispute ; controversy","noun",
570,"নিকট","Near; adjacent","adj.",
571,"অন্ততঃ","at least; at any rate","adv.",
572,"সোয়র","Zoar","name",
573,"চেয়ে দেখা","to look up; lift up one's eyes","verb",
574,"ধূলিকণা","dust particle","noun",
576,"খাটানো","set up ; erect, to cause people to work","verb",
577,"উপত্যকা","valley","noun",
578,"বিদ্রোহ ক","to rebel","verb",
579,"সোজাসুজি","directly; straight","adv.",
581,"বন্ধুত্বের চুক্তিতে বাঁধা ক","were allied",,
582,"হামলা ক","to attack","verb",
583,"চটি","slipper (NIV - ‘sandal’)","noun",
584,"পায়ের চটির একটা বাধন","thong of a sandal","noun",
585,"ওয়ারিশ","heir or heiress","noun",
586,"বিষয়","estate; property","noun",
587,"বক্‌না","young cow; heifer","noun (f.)",
588,"ছাগী","she-goat","noun (f.)",
589,"ঘুঘু","Dove ; turtle-dove","noun",
590,"শকুন","vulture","noun",
594,"দৌলত","Wealth; treasure; riches","noun",
595,"চুলা","Hearth ; furnace ; fire place","noun",
596,"মশাল","torch","noun",
597,"বেগম সাহেবা","mistress","noun",
598,"নিষ্ঠুর ব্যবহার ক","to mistreat","verb",
600,"তার অধীনতা স্বীকার করে নাও","submit to her",,
601,"উদ্দেশ্য ক","addressed?","verb",
602,"শূয়া","well","noun",
603,"তাঁদের দেখামাত্র","when he saw them; as soon as he saw them",,
604,"পাশ কাটানো","Give one the slip. (NIV - ‘to pass by’)","verb",
605,"পাশ কাটিয়ে চলে যাওয়া","do not pass by",,
606,"সতেজ হ","to become revived or refreshed, animated, energetic, resuscitated","verb",
607,"কচি বাছুর","choice, tender calf","noun",
608,"বাছুর","calf","noun",
609,"কচি","soft, tender","adj",
610,"মাখা","to mix; knead","verb",
611,"ক্ষয়","to be wasted or lost","verb",
613,"সহবাসের আনন্দ","pleasure","noun",
614,"বৈকি","means ""yes, you did""; of course, surely",,
615,"এগিয়ে দেবার জন্য","to see them on their way",,
616,"হৈ চৈ","? (NIV - ‘outcry’)","noun",
618,"কাকুতি-মিনতি","Supplication ; earnest entreaty","noun",
619,"ফজর","[A] dawn","noun",
620,"সদর","Outer; external","adj.",
621,"সদর দরজা","main door; gateway","noun",
622,"রাতটুকু","? (NIV - ‘the night’)","noun",
623,"শহর-চক","city square or marketplace","noun",
624,"সাধাসাধি","Repeated solicitation; imploration; entreaty","noun",
625,"খামিহীন","without yeast, unleavened","adj.",
626,"সেঁকা","to bake","verb",
627,"জোয়ান","young man","noun",
628,"বুড়ো","old, aged","adj.",
629,"ঘেরা ক","to surround","verb",
630,"জেনা ক","to commit adultery (NIV - ‘to have sex with’)","verb",
631,"সরে দাঁড়া","to get out of the way","verb",
632,"মোড়লি ক","to lord it over? (NIV - “to play the judge”)","verb",
633,"ঝলক","Gush; violent flow; flash of fire or light","noun",
634,"হয়রান","Bewildered; fatigued; harassed; exasperated; worried","adj.",
636,"তামাশা ক","Play a trick (on); joke.","verb",
637,"তাগাদা","[A] reminder; urging","noun",
639,"যাই-যাচ্ছি ক","? (NIV - ‘to hesitate’)","verb",
640,"ঝাঁপানো","to jump","verb",
641,"মোটেই","at all","adv.",
642,"গন্ধক","sulphur; brimstone","noun",
643,"ধরা","Pillar; post; column","noun",
644,"প্রকাণ্ড","huge; gigantic","adj.",
646,"ধোঁয়া","smoke","noun",
648,"মাতাল ক","to make drunk (?)","verb",
649,"টের পাওয়া","to be aware of","verb",
650,"টের","feeling, sensation, awareness","noun",
651,"মুখামুখি হ","to be face to face; head-on","verb",
652,"সরল","‘straight’; upright; sincere","adj.",
653,"সরল মনে","with a clear conscience",,
654,"ছঁতে দেওয়া","to allow to touch","verb",
655,"ঠেকানো","to obstruct, to stop","verb",
657,"দায়","duty, debt, danger, responsibility","noun",
658,"সন্তান ধারাণের ক্ষমতা","ability to bear children","noun",
659,"সন্তান ধারাণের ক্ষমতা","ability to bear children","noun",
660,"মুখে হাসি ফুটা","to smile broudly, beam with satisfaction; light up","verb",
661,"ফুটা","bloom, blossom; become visible","verb",
662,"তামাশা ক","to mock, make fun of, joke","verb",
663,"বিষয়-সম্পত্তির ওয়ারিশ","heir to inheritance","noun",
664,"আনুমানিক","approximate; about","adj.",
667,"বাচ্চা-ভেড়ী","young female lamb","noun",
668,"খাঁড়া","to dig, excavate","verb",
669,"সেনাপতি","commander of armed forces","noun",
670,"ঝাউ","tamarisk tree","noun",
671,"গদি চাপানো","to put on a saddle, to saddle","verb",
672,"চোখ তুলে চাওয়া","to look up","verb",
673,"আল্লাহ্‌বক্ত","a God-fearer","noun",
674,"পিছ্‌পা হ","to fall back, be reluctant, shrink, hesitate, go back on something, withhold","verb",
675,"উপস্ত্রী","concubine","noun",
676,"উপ","denoting sub-, under-, assistant-, deputy","prefix",
677,"স্বেচ্ছা","free will, self will, one's own wish","noun",
678,"নিযুক্ত","appointed; employed; authorized","adj.",
679,"আপত্তি ক","to refuse, object","verb",
681,"গুহা","Cave ; cavern ; ravine ; hole","noun",
682,"পুরো","entire, whole, complete","adj.",
683,"হাতখানা","hand","noun",
684,"রান","thigh","noun",
686,"সতী","Chaste; virtuous","adj. (fem.)",
688,"নথ","Large nose-ring","noun",
689,"বালা","bangle","noun",
690,"খড়","Straw ; hay","noun",
691,"ভূষি","chaff, husk, bran? fodder","noun",
692,"চালিয়ে আনা","to lead","verb",
693,"কর্তব্য ক","to do one's duty","verb",
694,"ধাইমা","maid (here); midwife; foster-mother","noun",
695,"ধ্যান ক","to meditate","verb",
697,"গোষ্ঠীর সর্দার","tribal ruler","noun",
698,"সাঁইত্রিশ","37","number",
699,"বন্ধ্যা","barren","adj",
700,"ভিক্ষা চাওয়া","to pray for something","verb",
702,"ঠেলাঠেলি ক","to jostle with each other","verb",
703,"পশম","Wool; fur","noun",
704,"পশমের কোর্তা","a hairy garment","noun",
705,"লোমশ","hairy","adj",
706,"শিকারী","hunter","noun",
707,"শান্ত করে নেওয়া","quiet/peaceful nature","noun",
708,"ঝাঁক","a taste for something","noun",
709,"তুচ্ছ ক","to despise","verb",
710,"বজায়","Maintained ; in place ; in force","adj.",
711,"বজার রাখা","to confirm (an oath); maintain; keep in force/position","verb",
712,"রয়ে যাওয়া","to stay or remain","verb",
713,"সহবাস","Cohabitation; living as husband and wife; living together","noun",
714,"সংগিনী","female companion?","noun",
715,"গুনাহের দায়","guilt","noun",
717,"যেটির... সেটির","the one whose ... that one's",,
718,"শত্রুতা","enmity","noun",
719,"ঝগড়া-বিবাদ ক","to quarrel","verb",
720,"দীয়ার পাত্র","one who is blessed, [literally, 'blessed vessel']","noun",
721,"ইবশানো","Grow septic ; grow bitter","verb",
722,"বিষিয়ে তোলা","to bring about grief or bitterness","verb",
723,"বুলানো","to feel (by touch); to pass one's hand lightly over something","verb",
724,"ঠাট্টা ক","to deceive; joke, tease, make fun","verb",
725,"গলার স্বর","voice","noun",
726,"যা হোক","in any case, however","adv",
727,"শিশির","Dew; frost; winter","noun",
728,"উর্বরতা","fertility; 'fatness' (of the earth)","noun",
730,"কাকুতি-মিনতি ক","to beg or entreat humbly","verb",
731,"কাঁপুনি ধরে যাওয়া","to tremble violently","verb",
732,"বুক-ফাটা","to feel one's heart to be rending (with grief)","adj.",
733,"ফাটা","to crack, split, burst","verb",
734,"ছলনা ক","deceitfully","adv",
736,"গলা ছাড়া","to raise one's voice","verb",
737,"তলোয়ার","sword","noun",
738,"জোয়াল","yoke","noun",
739,"শোক ক","to mourn","verb",
740,"ঘনানো","Overtake ; come up with ; draw nigh ; approach","verb",
741,"ঘনিয়ে আসা","to draw near","verb",
742,"প্রতারণা","the act of deceiving","noun",
744,"প্রতারক","deceiving / deceiver","adj / noun",
745,"সিরীয়","Aramean","name",
746,"ঠেকা","to touch","verb",
748,"কণা","particle, atom, a little grain","noun",
749,"খারাক","[P] food; provision","noun",
750,"পোশাক","[P] dress, clothes","noun",
751,"খোরাক-পোশাক","food and clothing","noun",
753,"সহি","[A] correct; sound; right; safe; signature","adj",
754,"সালামত","[A] safety; peace; health","adj",
755,"জড়ো হ","to be gathered","verb",
756,"কোথাকার","of which place",,
757,"চরানো","to cause to graze; to tend","verb",
760,"বিনা বেতনে","for nothing; no pay; without salary","adv",
761,"শরীরের গড়ন","physical form or construction","noun",
762,"মেয়াদ / মিয়াদ","time","noun",
763,"অবহেলা করা হ","to be unloved, neglected","verb",
764,"গর্ভে ধারণ ক","to bear (children)","verb",
765,"যুত্র হ","to become attached to","verb",
766,"মনে হিংসা জাগা","to become jealous","verb",
767,"সুবিচার ক","to vindicate","verb",
768,"ফরিয়াদ","legal complaint; plea","noun",
769,"পাল্লা","struggle; toils, snares; clutches","noun",
770,"পাল্লা দেওয়া","to compete with; race against","verb",
771,"জয়ই হওয়া","to win","verb",
772,"সৌভাগ্য","good fortune","noun",
773,"দূদাফল","mandrakes","noun",
774,"দখল ক","to take away; take over, take possession of","verb",
776,"লক্ষণ","sign; indication","noun",
777,"ছাপ","print; mark","noun",
778,"ছাপের ভাড়া","spotted sheep","noun",
779,"ডোরাকাটা","striped; streaky","adj",
780,"লিব্‌নী","poplar tree","noun",
781,"লূস","almond tree","noun",
782,"আর্মোণ","plane tree","noun",
783,"ছাল","bark (of tree); skin of fruit; animal skin or hide","noun",
785,"ছাড়িয়ে নেওয়া","to peel","verb",
787,"এ-ও লক্ষ্য ক","to observe/perceive 'this and that'","verb",
788,"বদল ক","to change","verb",
789,"ধাওয়া","Run after; chase; pursue.","verb",
790,"নাগাল","Contact; touch; proximity; reach.","noun",
791,"নাগাল পাওয়া","to reach, overtake, have access to, catch up with","verb",
792,"ভাল-মন্দ","good or bad","noun",
793,"খঞ্জনি","Tambourine","noun",
794,"বীণা","Indian lute; harp","noun",
795,"কাড়া","to Snatch away ; seize by force","verb",
797,"হাত্‌ড়ানো","Feel one's way; grope","verb",
798,"হাতড়ে দেখা","to search","verb",
799,"ঝগড়ার সুরে","'with a quarrelous voice'","adv",
800,"সুর","tune, musical note, voice","noun",
801,"অপরাধ","crime","noun",
802,"তাড়া ক","to hunt down","verb",
803,"বুনো জন্তু","wild beast","noun",
804,"ক্ষতিপূরণ","Compensation; payment of damages","noun",
805,"ইসহাকের ভয়ের পাত্র","one feared by Isaac (referring to God here)","noun",
807,"ছাউনি","military encampment or base, camp; place where tents are pitched","noun",
809,"মিনতি জানানো","to humbly pray","verb",
810,"দুধালো উট","female camel","noun",
811,"গাভী","cow (female)","noun",
812,"ষাঁড়","bull","noun",
814,"কুস্তি ক","to wrestle","verb",
815,"শান্ত করে নেওয়া","to pacify","verb",
818,"রানের জোড়া","'thigh joint'; hipsocket","noun",
819,"সামনাসামনি","face to face","adv",
820,"খোঁড়ানো","to limp","verb",
821,"উপরকার গোশ্‌ত","meat of the upper part","noun",
822,"সাক্ষাৎ","interview; meeting","noun",
823,"জড়িয়ে ধরা","to embrace","verb",
824,"জড়ান","to hug; encircle; to wrap; roll up","verb",
825,"দলবল","Party; train; body of followers","noun",
826,"মিনতি চরে বলা","to speak humbly or with pleading","verb",
827,"কবুল ক","to accept, grant; admit, confess","verb",
828,"সাধাসাধি ক","to insist, entreat, implore, request repeatedly","verb",
829,"তাড়াহুড়া","excessive hurry, haste","noun",
830,"তাড়াহূড়া ক","to drive hard; hurry","verb",
831,"ধীরেসুস্থে","Slowly and steadily; without hurry; leisurely; slowly and healthily","adv",
832,"কুঁড়ে ঘর","thatched hut or shanty","noun",
833,"কুঁড়ে","poor man's cottage","noun",
834,"সহিসালামত","[A] safe and sound","adj",
835,"জমিমানা","a plot of ground","noun",
836,"কসীতা","pieces of silver","noun",
839,"ইজ্জত নস্ত ক","to dishonor; to violate one's chastity","verb",
840,"বন্দোবস্ত","Arrangement ; settlement","noun",
841,"বন্দোবস্ত ক","to arrange, make preparations for; make a contract with","verb",
842,"অপমানের কাজ","a disgraceful act","noun",
843,"অপমান","insult, dishonor, disgrace, humiliation","noun",
844,"প্রাণের টান রওয়া","to have one's heart set on","verb",
845,"চালু","Current ; running ; working ; popular","adj",
846,"চালু ক","to bring something into use for the first time, introduce; to set in motion (as a machine), put into operation","verb",
847,"মহরানা","[Persian] dowery","noun",
848,"প্রতিশোধ","Revenge ; requital ; retaliation","noun",
849,"কৌশল ক","to devise, to play a trick","verb",
850,"অসম্মানের ব্যাপার","a disgraceful matter","noun",
851,"সম্মানী","respectable?","adj",
852,"মধ্যেকার","of those within or among, centre",,
853,"দৌলৎ","wealth, riches, treasure","noun",
855,"বাদ পড়া","to be excluded or left out","verb",
857,"ঘৃণার পাত্র","one to be hated; an object of hate, [literally, 'hated container'] [NIV - 'a stench']","noun",
858,"নিকেরে পাক-সাফ ক","to purify one's self","verb",
859,"পুঁতা","to bury","verb",
860,"পূঁতে রাখা","to bury","verb",
862,"ঢালন-কোরবানী","drink offering; lit. 'poured' offering","noun",
863,"প্রসব-বেদনা","birth pains; labor","noun",
864,"ধাত্রী","midwife","noun",
865,"সৌভাগ্য","good luck, good fortune; prosperity","noun",
866,"জেনা ক","to commit adultery","verb",
867,"পদ্দন-ইরান","Paddan Aram","name",
868,"কিরিয়ৎ-অর্ব","Kiriath Arba","name",
869,"মম্রি","Mamre","name",
870,"ইস্‌","Esau","name",
871,"ইদোম","Edom","name",
872,"হিট্টীয়","Hittite","name",
873,"এলোন","Elon","name",
874,"আদা","Adah","name",
875,"হিব্বীয়","Hivite","name",
876,"সিবিয়োন","Zibeon","name",
877,"নাত্‌নী","granddaughter","noun",
878,"অনা","Anah","name",
879,"অহলীবামা","Oholibamah","name",
880,"নাবায়ুত","Nebaioth","name",
881,"বাসমত","Basemath","name",
882,"ইলীফস","Eliphaz","name",
884,"যিয়ূশ","Jeush","name",
885,"যালম","Jalam","name",
886,"কোরহ","Korah","name",
887,"ধন-দৌলৎ","wealth and property, riches and wealth","noun",
888,"সেয়ীর","Seir","name",
889,"ইদোমীয়","Edomite","name",
890,"ভয়ানক","Teman","name",
891,"ওমার","Omar","name",
892,"সফো","Zepho","name",
893,"গয়িতম","Gatam","name",
894,"কনস","Kenaz","name",
896,"আমালেক","Amalek","name",
897,"নহৎ","Nahath","name",
899,"শস্ম","Shammah","name",
900,"মিসা","Mizzah","name",
901,"সর্দার","the chief man, a chief, a leader","noun",
902,"হোরীয়","Horite","name",
903,"লোটন","Lotan","name",
904,"শোবল","Shobal","name",
905,"শিবিয়োন","Zibeon","name",
907,"দিশোন","Dishon","name",
908,"এৎসর","Ezer","name",
909,"দীশন","Dishan","name",
910,"হোরী","Hori","name",
911,"হেমম","Homam","name",
912,"অল্‌বন","Alvan","name",
913,"মানহৎ","Manahath","name",
914,"এবল","Ebal","name",
915,"শফো","Shepho","name",
916,"ওনম","Onam","name",
917,"অয়া","Aiah","name",
919,"হিম্‌দন","Hemdan","name",
920,"ইশ্‌বন","Eshban","name",
921,"যিত্রণ","Ithran","name",
922,"করাণ","Keran","name",
923,"বিল্‌হন","Bilhan","name",
924,"সাবন","Zaavan","name",
925,"আকন","Akan","name",
926,"আওস","Uz","name",
927,"অরাণ","Aran","name",
928,"বাউর","Beor","name",
929,"বেলা","Bela","name",
930,"দিন্‌হাবা","Dinhabah","name",
931,"বস্রা","Bozrah","name",
933,"যোবব","Jobab","name",
